1020 FEATURES[31, 185, 205.0, 1]
[43, 157, 129.0, 0]
[42, 173, 219.0, 1]
[30, 180, 244.0, 1]
[28, 168, 171, 0]
[29, 175, 180.0, 1]
[44, 183, 185.0, 1]
[33, 185, 215.0, 1]
[36, 175, 190.0, 1]
[40, 180, 205.0, 1]
[43, 163, 145.0, 0]
[39, 178, 218.0, 1]
[30, 170, 179.0, 0]
[30, 178, 177.0, 1]
[47, 178, 180.0, 1]
[34, 163, 130.0, 0]
[29, 160, 118.0, 0]
[28, 178, 205.0, 1]
[33, 188, 210.0, 1]
[37, 183, 220.0, 1]
[42, 185, 205.0, 1]
[32, 157, 129.0, 0]
[43, 173, 219.0, 1]
[44, 180, 244.0, 1]
[29, 168, 156, 0]
[50, 175, 180.0, 1]
[34, 183, 185.0, 1]
[33, 185, 215.0, 1]
[47, 175, 190.0, 1]
[50, 180, 205.0, 1]
[48, 163, 145.0, 0]
[37, 178, 218.0, 1]
[42, 170, 179.0, 0]
[43, 178, 177.0, 1]
[39, 178, 180.0, 1]
[34, 163, 130.0, 0]
[42, 160, 118.0, 0]
[49, 178, 205.0, 1]
[33, 188, 210.0, 1]
[37, 183, 220.0, 1]
[48, 175, 262.0, 1]
[44, 157, 125.0, 0]
[45, 178, 206.0, 1]
[50, 183, 185.0, 1]
[35, 185, 220.0, 1]
[42, 165, 163.0, 1]
[36, 157, 145.0, 0]
[44, 175, 198.0, 1]
[42, 205, 189, 0]
[50, 163, 134.0, 0]
[30, 205, 167, 1]
[45, 183, 205.0, 1]
[29, 188, 250.0, 1]
[32, 168, 165.0, 1]
[29, 185, 210.0, 1]
[30, 180, 198.0, 1]
[38, 173, 137.0, 0]
[33, 191, 247.0, 1]
[43, 180, 187.0, 1]
[34, 175, 183.0, 1]
[47, 178, 205.0, 1]
[37, 157, 128.0, 0]
[28, 185, 216.0, 1]
[39, 178, 219.0, 1]
[29, 168, 140.0, 0]
[33, 160, 115.0, 0]
[38, 178, 135.0, 0]
[30, 178, 180.0, 1]
[33, 178, 188.0, 1]
[41, 183, 197.0, 1]
[32, 168, 162.0, 0]
[45, 170, 171.0, 1]
[49, 183, 212.0, 1]
[42, 178, 170.0, 0]
[42, 180, 187.0, 1]
[49, 173, 130.0, 0]
[48, 168, 143.0, 0]
[49, 165, 130.0, 0]
[34, 188, 210.0, 1]
[41, 157, 128.0, 0]
[46, 188, 205.0, 1]
[28, 152, 112.0, 0]
[47, 180, 203.0, 1]
[32, 175, 201.0, 1]
[49, 168, 185.0, 1]
[58, 175, 175.0, 1]
[37, 165, 112.0, 0]
[49, 178, 180.0, 1]
[46, 178, 212.0, 1]
[34, 178, 197.0, 1]
[36, 191, 212.0, 1]
[29, 163, 128.0, 0]
[33, 180, 270.0, 1]
[38, 178, 205.0, 1]
[34, 183, 193.0, 1]
[40, 157, 122.0, 0]
[37, 160, 118.0, 0]
[31, 168, 140.0, 0]
[28, 168, 205.0, 2]
[43, 188, 235.0, 1]
[37, 188, 205.0, 1]
[34, 152, 112.0, 0]
[44, 180, 203.0, 1]
[44, 175, 201.0, 1]
[37, 168, 185.0, 1]
[58, 175, 175.0, 1]
[30, 165, 112.0, 0]
[39, 178, 180.0, 1]
[44, 178, 212.0, 1]
[37, 178, 197.0, 1]
[34, 191, 212.0, 1]
[41, 163, 128.0, 0]
[33, 180, 270.0, 1]
[47, 178, 205.0, 1]
[48, 183, 193.0, 1]
[39, 157, 122.0, 0]
[46, 160, 118.0, 0]
[32, 168, 140.0, 0]
[28, 168, 205.0, 2]
[31, 188, 235.0, 1]
[33, 165, 135.0, 0]
[30, 183, 257.0, 1]
[45, 168, 137.0, 0]
[48, 175, 135.0, 0]
[36, 178, 222.0, 2]
[35, 175, 157.0, 0]
[33, 157, 121.0, 0]
[45, 170, 190.0, 1]
[44, 175, 199.0, 1]
[28, 175, 130.0, 0]
[36, 178, 176.0, 1]
[44, 168, 182.0, 1]
[32, 178, 180.0, 1]
[39, 180, 183.0, 1]
[44, 178, 208.0, 1]
[46, 183, 242.0, 1]
[40, 173, 187.0, 1]
[35, 178, 171.0, 0]
[36, 178, 178.0, 1]
[41, 178, 180.0, 1]
[48, 170, 131.0, 1]
[37, 163, 115.0, 0]
[31, 163, 133.0, 0]
[43, 205, 172.0, 1]
[47, 163, 138.0, 0]
[33, 163, 141.0, 0]
[47, 175, 239.0, 1]
[29, 191, 205.0, 1]
[46, 168, 140.0, 0]
[34, 168, 140.0, 0]
[38, 152, 136.0, 0]
[38, 191, 252.0, 1]
[39, 188, 205.0, 1]
[40, 175, 177.0, 0]
[50, 170, 175.0, 1]
[39, 185, 220.0, 1]
[34, 188, 200.0, 1]
[41, 168, 202.0, 1]
[53, 157, 168.0, 0]
[32, 188, 243.0, 1]
[50, 178, 205.0, 1]
[32, 160, 118.0, 0]
[34, 178, 185.0, 1]
[38, 170, 180.0, 1]
[43, 168, 175.0, 1]
[49, 170, 148.0, 1]
[50, 178, 179.0, 1]
[31, 165, 126.0, 0]
[30, 163, 133.0, 0]
[40, 168, 131.0, 0]
[31, 193, 260.0, 1]
[30, 173, 210.0, 1]
[44, 193, 220.0, 1]
[2017, 205, 121, 2]
[37, 180, 290.0, 1]
[45, 175, 153.0, 0]
[37, 157, 130.0, 0]
[47, 180, 159.0, 1]
[38, 205, 166, 2]
[41, 170, 148.0, 0]
[40, 170, 173.0, 1]
[30, 173, 209.0, 1]
[35, 173, 183.0, 1]
[47, 196, 238.0, 1]
[28, 205, 350.0, 1]
[28, 173, 200.0, 0]
[29, 173, 158.0, 1]
[45, 180, 241.0, 1]
[30, 168, 197.0, 1]
[43, 163, 125.0, 0]
[48, 168, 240.0, 1]
